NUTS_ID,NAME_LATN,Brikgronden,Dikke eerdgronden,Gedefinieerde associaties,Kalkhoudende zandgronden,Kalkloze zandgronden,Kalksteen verweringsgronden,Keileemgronden,Leemgronden,Moerige gronden,Niet-gerijpte minerale gronden,Oude rivierkleigronden,Podzolgronden,Rivierkleigronden,Veengronden,Zeekleigronden,Zeer oude fluviatiele afzettingen,Zeer oude mariene afzettingen,dominant_main_class,dominant_fraction
NL213,Twente,0.0,0.1414701413762887,0.04536200258230028,0.0,0.24223705402035114,0.0,0.01850073294951618,0.0,0.05086871291084297,0.0,0.0,0.47112524430355085,0.010029261452730732,0.014703553245125147,0.0,0.0,0.005703297159293917,Podzolgronden,0.47112524430355085
NL221,Veluwe,0.0,0.07857176536993692,0.011046756230782087,0.004085975440092972,0.30001499477144156,0.0,0.0,0.0003710970397191039,0.018261152544685966,0.0,0.0,0.496382370124459,0.0589185391380805,0.020065868371093122,0.012281480969708929,0.0,0.0,Podzolgronden,0.496382370124459
NL224,Zuidwest-Gelderland,0.0,0.0,0.017343197801995426,0.0030315020251010494,0.0006380518926425838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769950247511497,0.001992223529111144,0.0,0.0,0.0,Rivierkleigronden,0.9769950247511497
NL225,Achterhoek,0.0,0.14909948981532373,0.0013778670702598477,0.0012472215194641771,0.3024695096212763,0.0,0.009029136739318763,0.0,0.002188374059222398,0.0,0.07346503316242665,0.36704695918508234,0.0910645257027587,0.0029251820896404146,0.0,0.0,8.670103522663804e-05,Podzolgronden,0.36704695918508234
NL226,Arnhem/Nijmegen,0.0,0.02862408818827702,0.0,0.007614498914080316,0.05327120199183061,0.0,0.0,0.03029831509474253,0.0004077328463692933,0.0,0.04232618713440342,0.21364391146235448,0.6223879638819309,0.001426100486011525,0.0,0.0,0.0,Rivierkleigronden,0.6223879638819309
NL230,Flevoland,0.0,0.0,0.001432759116297924,0.13089614916123674,0.002180977911488989,0.0,0.004073135300163028,0.0,0.02067758805977749,0.0,0.0,0.02652737195780423,0.0,0.018594243274876455,0.7956177752183552,0.0,0.0,Zeekleigronden,0.7956177752183552
NL310,Utrecht,0.0,0.04184967603295681,0.006949818959353887,0.0008491041893143497,0.1365092384867569,0.0,0.0,0.0,0.03885839566626732,0.0,0.0,0.16033803067777885,0.3735699387644433,0.21159422131304562,0.02948157591008301,0.0,0.0,Rivierkleigronden,0.3735699387644433
NL321,Kop van Noord-Holland,0.0,0.02254860600167579,0.1437816556149347,0.13692714923083477,0.11733566055852472,0.0,0.00018513602857321665,0.0,0.02101943977559415,0.0005734226330404785,0.0,0.024006542469061747,0.0,0.004235156372583739,0.5293872313151767,0.0,0.0,Zeekleigronden,0.5293872313151767
NL323,IJmond,0.0,0.026364300765955955,0.0,0.43904121115535083,0.09941872347113509,0.0,0.0,0.0,0.042676074412720644,0.0,0.0,0.0,0.0,0.09404597288763294,0.29845371730720455,0.0,0.0,Kalkhoudende zandgronden,0.43904121115535083
NL324,Agglomeratie Haarlem,0.0,0.11771298554933586,0.0,0.5418248836627392,0.10078943303341431,0.0,0.0,0.0,0.008402741085161515,0.0,0.0,0.0,0.0,0.1155485811747367,0.11572137549461256,0.0,0.0,Kalkhoudende zandgronden,0.5418248836627392
NL325,Zaanstreek,0.0,0.0,0.06781706042019167,0.00411176130671707,0.0,0.0,0.0,0.0,0.0454454944876365,0.0,0.0,0.0,0.0,0.6559325530759256,0.2266931307095291,0.0,0.0,Veengronden,0.6559325530759256
NL327,Het Gooi en Vechtstreek,0.0,0.025444270683671524,0.11283757229766152,0.0011415534317118056,0.09742558519277908,0.0,0.0,0.0,0.06502168710651983,0.0,0.0,0.3532423419970317,0.029040219614862868,0.1959965798619262,0.11985018981383548,0.0,0.0,Podzolgronden,0.3532423419970317
NL328,Alkmaar en omgeving,0.0,0.032320126859856926,0.011343768083577094,0.11839287821428839,0.18578183601806805,0.0,0.0,0.0,0.059787933204957934,0.0,0.0,0.0,0.0,0.08345755519642561,0.508915902422826,0.0,0.0,Zeekleigronden,0.508915902422826
NL329,Groot-Amsterdam,0.0,0.0004840229414841766,0.041254982350080606,0.013220649559259686,0.005598140515975887,0.0,0.0,0.0,0.04153752879563385,0.0,0.0,0.0,0.00029651829516489454,0.38764372921624135,0.5099644283261595,0.0,0.0,Zeekleigronden,0.5099644283261595
NL332,Agglomeratie ’s-Gravenhage,0.0,0.03846446084849575,0.052809865560495224,0.1710457098077462,0.0905372459226576,0.0,0.0,0.0,0.1554434525835922,0.0,0.0,0.0,0.0,0.0997417522310493,0.39195751304596377,0.0,0.0,Zeekleigronden,0.39195751304596377
NL333,Delft en Westland,0.0,0.27216308051553967,0.18306053756159152,0.0330766054585308,0.0,0.0,0.0,0.0,0.07744751023124354,0.0,0.0,0.0,0.0,0.08991169417883678,0.3443405720542577,0.0,0.0,Zeekleigronden,0.3443405720542577
NL337,Agglomeratie Leiden en Bollenstreek,0.0,0.21749394932403923,0.0017491170238025304,0.12092568281978237,0.07825946632106537,0.0,0.0,0.0,0.04123388381838369,0.0,0.0,0.0,0.0014987782283139592,0.20103822486205414,0.3378008976025587,0.0,0.0,Zeekleigronden,0.3378008976025587
NL33A,Zuidoost-Zuid-Holland,0.0,0.0,0.010103603882832362,0.003897995306845503,0.0,0.0,0.0,0.0,0.008170966655352899,0.017968001091241408,0.0,0.0,0.30335129321921894,0.4497191558047059,0.20678898403980292,0.0,0.0,Veengronden,0.4497191558047059
NL33B,Oost-Zuid-Holland,0.0,0.0,0.025747481832575317,0.0,0.0,0.0,0.0,0.0,0.05394835904718098,0.0006289183615379204,0.0,0.0,0.14644430538442377,0.588213480347459,0.1850174550268229,0.0,0.0,Veengronden,0.588213480347459
NL33C,Groot-Rijnmond,0.0,0.001859144866620651,0.021201434923393672,0.052993343122083,0.012489262493685838,0.0,0.0,0.0,0.031170262898405635,0.019339356419158876,0.0,0.0,0.0,0.05639554814627524,0.804551647130377,0.0,0.0,Zeekleigronden,0.804551647130377
NL341,Zeeuwsch-Vlaanderen,0.0,0.01635536956190191,0.001873218702303333,0.07114498801726493,0.048401155132383876,0.0,0.0,0.0,0.0,0.027983422038252177,0.0,0.024858029049200595,0.0,0.0,0.8093838174986933,0.0,0.0,Zeekleigronden,0.8093838174986933
NL342,Overig Zeeland,0.0,0.0,0.10723160119592143,0.0637910019785961,0.02530639869482616,0.0,0.0,0.0,0.00011023481205848479,0.014739280904710737,0.0,0.0,0.0,0.0035290665274636066,0.7852924158864235,0.0,0.0,Zeekleigronden,0.7852924158864235
NL411,West-Noord-Brabant,0.0,0.1246329561436001,0.004923468838558676,0.0026595707913583044,0.10159091173600746,0.0,0.0,0.0,0.02208031159934544,0.014333415661158186,0.0,0.3401569782419312,0.0,0.014397451403154973,0.37429726074464903,0.0,0.0009276748402365358,Zeekleigronden,0.37429726074464903
NL412,Midden-Noord-Brabant,0.0,0.19404616288511248,0.009894924962003532,0.003922120662029646,0.1360485029098959,0.0,0.0,0.004525693557015487,0.018377282814251574,0.005042441787689842,0.0,0.37067121570921063,0.1256319766584179,0.009372492294909643,0.12246718575946339,0.0,0.0,Podzolgronden,0.37067121570921063
NL413,Noordoost-Noord-Brabant,0.0,0.18884685070742965,0.0068608235236285505,1.5502395684803006e-05,0.29679375584660245,0.0,0.0,0.0030824895165304797,0.0049486532862927915,0.0,0.02951566768455221,0.3272574584669498,0.13936878619481757,0.003310012377511684,0.0,0.0,0.0,Podzolgronden,0.3272574584669498
NL414,Zuidoost-Noord-Brabant,0.0,0.24285521562738696,0.002593232899089823,0.0,0.1996273589528005,0.0,0.0,0.012924130769178813,0.02546662720838299,0.0,0.0,0.49768342626783013,0.0,0.01885000827533087,0.0,0.0,0.0,Podzolgronden,0.49768342626783013
NL421,Noord-Limburg,0.01607175701318963,0.16720484284895507,0.01567360588283598,0.0,0.2596839376819698,0.0,0.0,0.005455471357866305,0.029197923945925748,0.0,0.07340097518148056,0.3799435442270177,0.0348516670296283,0.018516274831130775,0.0,0.0,0.0,Podzolgronden,0.3799435442270177
NL422,Midden-Limburg,0.05528585504483198,0.18230776650016922,0.020651480329602536,0.0,0.26727405263626036,0.0,0.0,0.040622777625185076,0.01981566273427285,0.0,0.05999845640645281,0.25970626121887314,0.0835163959811145,0.010551766776271043,0.0,0.00026952474696647217,0.0,Kalkloze zandgronden,0.26727405263626036
NL423,Zuid-Limburg,0.4521717265668363,0.0,0.18466137093447885,0.0005376292853244196,0.0066913261075204275,0.012895108168960744,0.0,0.18688931867112257,0.00201744159437074,0.0,0.0232133125378564,0.005679772735992938,0.09002826208349614,0.0016952627571651519,0.0,0.019104737634796004,0.01441473092207928,Brikgronden,0.4521717265668363
