staid,station_name,latitude,longitude,elevation,source_file
2390,NETHERLANDS DEURNE,51.45,5.766666666666667,26,indexCDD_002390.txt
2391,NETHERLANDS DEVENTER,52.266666666666666,6.216666666666667,6,indexCDD_002391.txt
2392,NETHERLANDS DOKKUM,53.31666666666667,5.983055555555556,1,indexCDD_002392.txt
2393,NETHERLANDS DOORN,52.05,5.333055555555555,20,indexCDD_002393.txt
2394,NETHERLANDS DRACHTEN,53.11666666666667,6.1,2,indexCDD_002394.txt
2395,NETHERLANDS DRONTEN,52.55,5.85,0,indexCDD_002395.txt
2396,NETHERLANDS DUIVEN,51.96666666666667,6.016666666666667,9,indexCDD_002396.txt
2397,NETHERLANDS DWINGELO,52.81666666666667,6.416666666666667,12,indexCDD_002397.txt
2398,NETHERLANDS EDAM,52.516666666666666,5.05,0,indexCDD_002398.txt
2399,NETHERLANDS EEMNES,52.283055555555556,5.283055555555555,0,indexCDD_002399.txt
2400,NETHERLANDS EENRUM,53.36666666666667,6.466666666666667,1,indexCDD_002400.txt
2401,NETHERLANDS EERBEEK,52.11666666666667,6.066666666666666,15,indexCDD_002401.txt
2402,NETHERLANDS EERNEWOUDE,53.13305555555556,5.95,-1,indexCDD_002402.txt
2403,NETHERLANDS EERSEL,51.35,5.25,30,indexCDD_002403.txt
2404,NETHERLANDS ELSPEET,52.283055555555556,5.783055555555555,34,indexCDD_002404.txt
2405,NETHERLANDS EMMEN,52.783055555555556,6.883055555555556,24,indexCDD_002405.txt
2406,NETHERLANDS ENSCHEDE,52.2,6.916666666666667,46,indexCDD_002406.txt
2407,NETHERLANDS EPE,52.35,6.0,9,indexCDD_002407.txt
2408,NETHERLANDS EPEN (L),50.766666666666666,5.9,155,indexCDD_002408.txt
2409,NETHERLANDS EZINGE,53.283055555555556,6.45,1,indexCDD_002409.txt
2410,NETHERLANDS EZUMAZIJL,53.36666666666667,6.15,1,indexCDD_002410.txt
2411,NETHERLANDS FINSTERWOLDE,53.2,7.1,1,indexCDD_002411.txt
2412,NETHERLANDS FORMERUM,53.4,5.3,0,indexCDD_002412.txt
2413,NETHERLANDS FREDERIKSOORD,52.85,6.2,4,indexCDD_002413.txt
2414,NETHERLANDS GELDERMALSEN,51.86666666666667,5.266666666666667,4,indexCDD_002414.txt
2415,NETHERLANDS GEMERT,51.55,5.683055555555556,13,indexCDD_002415.txt
2416,NETHERLANDS GENDRINGEN,51.86666666666667,6.35,14,indexCDD_002416.txt
2417,NETHERLANDS GIERSBERGEN,51.65,5.15,6,indexCDD_002417.txt
2418,NETHERLANDS GIETERVEEN,53.033055555555556,6.85,0,indexCDD_002418.txt
2419,NETHERLANDS GIETHOORN,52.71666666666667,6.066666666666666,-1,indexCDD_002419.txt
2420,NETHERLANDS GINNEKEN,51.55,4.75,5,indexCDD_002420.txt
2421,NETHERLANDS GOEDEREEDE,51.81666666666667,3.966666666666667,0,indexCDD_002421.txt
2422,NETHERLANDS GORINCHEM,51.83305555555556,4.983055555555556,1,indexCDD_002422.txt
2423,NETHERLANDS GORREDIJK,53.0,6.066666666666666,0,indexCDD_002423.txt
2424,NETHERLANDS GOUDA,52.016666666666666,4.716666666666667,-2,indexCDD_002424.txt
2425,NETHERLANDS HAMERSVELD,52.13305555555556,5.416666666666667,3,indexCDD_002425.txt
2426,NETHERLANDS HARDERWIJK,52.36666666666667,5.616666666666667,2,indexCDD_002426.txt
2427,NETHERLANDS HARLINGEN,53.183055555555555,5.433055555555556,0,indexCDD_002427.txt
2428,NETHERLANDS HARSKAMP,52.15,5.733055555555556,19,indexCDD_002428.txt
2429,NETHERLANDS HEEG,52.96666666666667,5.6,-1,indexCDD_002429.txt
2430,NETHERLANDS HEEMSTEDE,52.35,4.633055555555556,-4,indexCDD_002430.txt
2431,NETHERLANDS HEIBLOEM (L),51.283055555555556,5.9,29,indexCDD_002431.txt
2432,NETHERLANDS HEILOO,52.6,4.733055555555556,-1,indexCDD_002432.txt
2433,NETHERLANDS HELLENDOORN,52.38305555555556,6.45,10,indexCDD_002433.txt
2434,NETHERLANDS HENDRIK IDO AMBACHT,51.83305555555556,4.65,-1,indexCDD_002434.txt
2435,NETHERLANDS HENGELO,52.06666666666667,6.3,11,indexCDD_002435.txt
2436,NETHERLANDS HENGELO (O),52.266666666666666,6.766666666666667,15,indexCDD_002436.txt
2437,NETHERLANDS HERBAYUM,53.183055555555555,5.5,0,indexCDD_002437.txt
2438,NETHERLANDS HERWEN,51.88305555555556,6.1,14,indexCDD_002438.txt
2439,NETHERLANDS HEUMEN,51.766666666666666,5.833055555555555,10,indexCDD_002439.txt
2440,NETHERLANDS HOLLUM,53.433055555555555,5.633055555555556,1,indexCDD_002440.txt
2441,NETHERLANDS HOLTEN,52.3,6.466666666666667,16,indexCDD_002441.txt
2442,NETHERLANDS HONSELERSDIJK,52.0,4.25,-1,indexCDD_002442.txt
2443,NETHERLANDS HOOGKARSPEL,52.683055555555555,5.166666666666667,-1,indexCDD_002443.txt
2444,NETHERLANDS HOOGWOUD,52.73305555555556,4.966666666666667,-1,indexCDD_002444.txt
2445,NETHERLANDS HULSHORST,52.36666666666667,5.7,4,indexCDD_002445.txt
2447,NETHERLANDS IJSSELSTEYN (L),51.48305555555556,5.883055555555556,31,indexCDD_002447.txt
2448,NETHERLANDS JOURE,52.96666666666667,5.816666666666666,0,indexCDD_002448.txt
2449,NETHERLANDS KAPELLE,51.48305555555556,3.95,0,indexCDD_002449.txt
2450,NETHERLANDS KATWIJK AAN DEN RIJN,52.183055555555555,4.416666666666667,7,indexCDD_002450.txt
2451,NETHERLANDS KLOOSTERZANDE,51.38305555555556,4.033055555555555,1,indexCDD_002451.txt
2452,NETHERLANDS KOLHORN,52.783055555555556,4.9,-2,indexCDD_002452.txt
2453,NETHERLANDS KOLLUM,53.283055555555556,6.133055555555555,1,indexCDD_002453.txt
2454,NETHERLANDS KOOTWIJK,52.183055555555555,5.833055555555555,39,indexCDD_002454.txt
2455,NETHERLANDS KORNWERDERZAND,53.06666666666667,5.333055555555555,3,indexCDD_002455.txt
2456,NETHERLANDS KORTGENE,51.56666666666667,3.833055555555555,1,indexCDD_002456.txt
2457,NETHERLANDS KRABBENDIJKE,51.433055555555555,4.099722222222222,1,indexCDD_002457.txt
2458,NETHERLANDS KREILEROORD,52.86666666666667,5.1,2,indexCDD_002458.txt
2459,NETHERLANDS KUINRE,52.783055555555556,5.85,5,indexCDD_002459.txt
2460,NETHERLANDS LAAGHALEN,52.916666666666664,6.533055555555555,16,indexCDD_002460.txt
2461,NETHERLANDS LAREN,52.25,5.2,15,indexCDD_002461.txt
2462,NETHERLANDS LEENDE,51.33305555555556,5.533055555555555,25,indexCDD_002462.txt
2463,NETHERLANDS LEIDEN,52.13305555555556,4.483055555555556,0,indexCDD_002463.txt
2464,NETHERLANDS LICHTENVOORDE,52.0,6.566666666666666,19,indexCDD_002464.txt
2466,NETHERLANDS LIJNDEN (NH),52.35,4.75,-5,indexCDD_002466.txt
2467,NETHERLANDS LISSE,52.266666666666666,4.55,5,indexCDD_002467.txt
2468,NETHERLANDS LOCHEM,52.15,6.383055555555555,12,indexCDD_002468.txt
2469,NETHERLANDS LUNTEREN,52.08305555555556,5.6,13,indexCDD_002469.txt
2470,NETHERLANDS MAARHEEZE,51.3,5.583055555555555,28,indexCDD_002470.txt
2471,NETHERLANDS MAASLAND,51.96666666666667,4.25,-2,indexCDD_002471.txt
2472,NETHERLANDS MARUM,53.15,6.283055555555555,3,indexCDD_002472.txt
2473,NETHERLANDS MEGEN,51.81666666666667,5.566666666666666,6,indexCDD_002473.txt
2474,NETHERLANDS MIDDELBURG,51.48305555555556,3.6,-1,indexCDD_002474.txt
2475,NETHERLANDS MIDDELSTUM,53.31666666666667,6.616666666666667,0,indexCDD_002475.txt
2476,NETHERLANDS MILL,51.683055555555555,5.8,17,indexCDD_002476.txt
2477,NETHERLANDS NAGELE,52.61666666666667,5.716666666666667,-4,indexCDD_002477.txt
2478,NETHERLANDS NES (AMELAND),53.45,5.766666666666667,3,indexCDD_002478.txt
